Gene	gene_id	chr	start	stop	type	gene_name.84	gene_id.84	gene_type.84	gnomAD_transcript	exp_lof	oe_lof	LOEUF	homozygous_lof	Huang_pHI	RVIS	Gene_Avg_PCT
NUP37	ENSG00000075188	chr12	102073103	102120120	protein_coding	NUP37	ENSG00000075188	protein_coding	ENST00000552283	19.612	0.56087	0.928	FALSE	0.774747732	0.071787024	0.145028571428571
NUP42	ENSG00000136243	chr7	23181841	23201011	protein_coding	NUPL2	ENSG00000136243	protein_coding	ENST00000258742	17.039	0.82164	1.284	FALSE	NA	0.502901342	0.0291428571428571
NUP43	ENSG00000120253	chr6	149724315	149749665	protein_coding	NUP43	ENSG00000120253	protein_coding	ENST00000340413	21.675	0.50749	0.84	FALSE	0.61394766	-0.106595924	0.0181034482758621
NUP50	ENSG00000093000	chr22	45163925	45188017	protein_coding	NUP50	ENSG00000093000	protein_coding	ENST00000347635	16.711	0.23937	0.548	FALSE	0.088425037	-0.19234961	0.244787878787879
NUP54	ENSG00000138750	chr4	76114659	76148444	protein_coding	NUP54	ENSG00000138750	protein_coding	ENST00000264883	28.963	0.24169	0.454	FALSE	0.507295203	-0.229994602	0.01925
NUP58	ENSG00000139496	chr13	25301556	25349800	protein_coding	NUP58	ENSG00000139496	protein_coding	NA	NA	NA	NA	FALSE	NA	NA	NA
NUP62	ENSG00000213024	chr19	49906825	49929763	protein_coding	NUP62	ENSG00000213024	protein_coding	ENST00000596217	9.4347	0	0.317	FALSE	0.0234097	-0.416036337	0.0314285714285714
NUP62CL	ENSG00000198088	chrX	107123427	107206433	protein_coding	NUP62CL	ENSG00000198088	protein_coding	ENST00000372466	6.9302	0.72148	1.49	FALSE	0.010647897	0.138130183	0.0572682926829268
NUP85	ENSG00000125450	chr17	75205659	75235758	protein_coding	NUP85	ENSG00000125450	protein_coding	ENST00000245544	43.375	0.046109	0.145	FALSE	0.371302082	-0.453682269	0.000666666666666667
NUP88	ENSG00000108559	chr17	5360963	5419676	protein_coding	NUP88	ENSG00000108559	protein_coding	ENST00000573584	42.281	0.47302	0.687	FALSE	0.126682329	-0.810464019	0.0376
NUP93	ENSG00000102900	chr16	56730118	56850286	protein_coding	NUP93	ENSG00000102900	protein_coding	ENST00000308159	49.89	0.38084	0.559	FALSE	0.785340827	-0.68705995	0.00754347826086957
NUP98	ENSG00000110713	chr11	3671083	3797792	protein_coding	NUP98	ENSG00000110713	protein_coding	ENST00000324932	86.395	0.057874	0.122	FALSE	0.583387171	0.390135842	0.0986666666666667
NUPR1	ENSG00000176046	chr16	28532708	28539008	protein_coding	NUPR1	ENSG00000176046	protein_coding	ENST00000395641	2.3199	1.2931	1.911	FALSE	0.030536575	0.453396455	0
NUPR2	ENSG00000185290	chr7	56114681	56116417	protein_coding	NUPR2	ENSG00000185290	protein_coding	NA	NA	NA	NA	FALSE	NA	NA	NA
NUS1	ENSG00000153989	chr6	117675469	117710727	protein_coding	NUS1	ENSG00000153989	protein_coding	ENST00000368494	12.123	0	0.247	FALSE	0.445432959	0.354832425	0.221628571428571
NUSAP1	ENSG00000137804	chr15	41320794	41381050	protein_coding	NUSAP1	ENSG00000137804	protein_coding	ENST00000559596	19.883	0.30177	0.596	FALSE	0.064166774	0.124425233	0.0348888888888889
NUTF2	ENSG00000102898	chr16	67846923	67872567	protein_coding	NUTF2	ENSG00000102898	protein_coding	ENST00000219169	8.8543	0	0.338	FALSE	0.877290509	-0.044735561	0.291833333333333
NUTM1	ENSG00000184507	chr15	34343315	34357737	protein_coding	NUTM1	ENSG00000184507	protein_coding	ENST00000333756	33.891	0.32457	0.537	FALSE	0.055820414	0.264685335	0
NUTM2A	ENSG00000184923	chr10	87225448	87236908	protein_coding	NUTM2A	ENSG00000184923	protein_coding	ENST00000381707	5.2097	1.5356	1.936	TRUE	0.000786939	NA	0
NUTM2B	ENSG00000188199	chr10	79703227	79714681	protein_coding	NUTM2B	ENSG00000188199	protein_coding	ENST00000429828	5.1063	0.58751	1.472	TRUE	0.000639797	NA	0.00185714285714286
NUTM2D	ENSG00000214562	chr10	87357720	87370695	protein_coding	NUTM2D	ENSG00000214562	protein_coding	ENST00000412718	4.7625	0.20997	0.992	TRUE	0.001478107	NA	0.00323529411764706
NUTM2E	ENSG00000228570	chr10	79826739	79850878	protein_coding	NUTM2E	ENSG00000228570	protein_coding	ENST00000429984	3.632	1.652	1.944	TRUE	0.000952793	NA	0
NUTM2F	ENSG00000130950	chr9	94318196	94328644	protein_coding	NUTM2F	ENSG00000130950	protein_coding	ENST00000253262	18.9	0.79366	1.222	TRUE	0.000786519	0.113963029	0.00321052631578947
NUTM2G	ENSG00000188152	chr9	96928310	96940253	protein_coding	NUTM2G	ENSG00000188152	protein_coding	ENST00000372322	19.124	0.83667	1.271	FALSE	0.001200074	1.066674417	0.00265
NVL	ENSG00000143748	chr1	224227334	224330189	protein_coding	NVL	ENSG00000143748	protein_coding	ENST00000281701	52.722	0.70179	0.923	FALSE	0.116539948	0.064748288	0.009
NWD1	ENSG00000188039	chr19	16719847	16817963	protein_coding	NWD1	ENSG00000188039	protein_coding	ENST00000524140	61.978	0.77447	0.985	TRUE	0.007412041	3.146234228	0.0431724137931035
NWD2	ENSG00000174145	chr4	37244743	37449463	protein_coding	NWD2	ENSG00000174145	protein_coding	NA	NA	NA	NA	FALSE	0.232539002	NA	NA
NXF1	ENSG00000162231	chr11	62792123	62806302	protein_coding	NXF1	ENSG00000162231	protein_coding	ENST00000532297	42.358	0.16526	0.31	FALSE	0.222751318	-1.325811928	0.196142857142857
NXF2	ENSG00000269405	chrX	102247167	102326722	protein_coding	NXF2	ENSG00000269405	protein_coding	ENST00000395088	5.5055	0.18163	0.861	TRUE	0.001506098	NA	0.0035
NXF2B	ENSG00000269437	chrX	102360396	102439932	protein_coding	NXF2B	ENSG00000269437	protein_coding	ENST00000457521	8.425	0.11869	0.563	FALSE	0.001720821	NA	0.0025
NXF3	ENSG00000147206	chrX	103075810	103093143	protein_coding	NXF3	ENSG00000147206	protein_coding	ENST00000395065	24.109	0.33183	0.599	FALSE	0.002050096	0.003174464	0.0736666666666667
NXN	ENSG00000167693	chr17	799310	979776	protein_coding	NXN	ENSG00000167693	protein_coding	ENST00000336868	21.723	0.046035	0.218	FALSE	0.594772524	-0.552085504	0.055
NXNL1	ENSG00000171773	chr19	17455425	17460926	protein_coding	NXNL1	ENSG00000171773	protein_coding	ENST00000301944	4.0494	0.74085	1.701	FALSE	0.012564733	0.592572287	0
NXNL2	ENSG00000130045	chr9	88534033	88584274	protein_coding	NXNL2	ENSG00000130045	protein_coding	ENST00000375854	3.6888	0	0.808	FALSE	0.025031866	0.288601047	0.317
NXPE1	ENSG00000095110	chr11	114521645	114559895	protein_coding	NXPE1	ENSG00000095110	protein_coding	ENST00000251921	12.19	1.3125	1.851	FALSE	0.003638597	0.25453764	0.00378125
NXPE2	ENSG00000204361	chr11	114678527	114707069	protein_coding	NXPE2	ENSG00000204361	protein_coding	ENST00000389586	17.262	0.81103	1.268	FALSE	0.007047066	NA	0.00961538461538462
NXPE3	ENSG00000144815	chr3	101779202	101828231	protein_coding	NXPE3	ENSG00000144815	protein_coding	ENST00000422132	20.933	0.3344	0.628	FALSE	0.213115901	-0.793738813	0.0697777777777778
NXPE4	ENSG00000137634	chr11	114570591	114595786	protein_coding	NXPE4	ENSG00000137634	protein_coding	ENST00000375478	19.831	1.1094	1.58	FALSE	0.008707701	1.305048834	0.0375
NXPH1	ENSG00000122584	chr7	8433609	8752961	protein_coding	NXPH1	ENSG00000122584	protein_coding	ENST00000405863	10.218	0.19574	0.616	FALSE	0.883986712	-0.575360488	0.1935
NXPH2	ENSG00000144227	chr2	138669157	138780390	protein_coding	NXPH2	ENSG00000144227	protein_coding	ENST00000272641	8.3382	0	0.359	FALSE	0.435341775	-0.318716764	0.087
NXPH3	ENSG00000182575	chr17	49575871	49583827	protein_coding	NXPH3	ENSG00000182575	protein_coding	ENST00000328741	7.9772	0.25072	0.789	FALSE	0.096977208	-0.2615466	0.07996875
NXPH4	ENSG00000182379	chr12	57216794	57226449	protein_coding	NXPH4	ENSG00000182379	protein_coding	ENST00000349394	7.2477	0.27595	0.868	FALSE	0.068823482	-0.088474859	0.17
NXT1	ENSG00000132661	chr20	23350791	23354771	protein_coding	NXT1	ENSG00000132661	protein_coding	ENST00000254998	3.3442	0	0.888	FALSE	0.110946037	-0.032708307	0.03375
NXT2	ENSG00000101888	chrX	109535781	109544698	protein_coding	NXT2	ENSG00000101888	protein_coding	ENST00000218004	5.9234	0	0.505	FALSE	0.183641601	0.365684411	0.2805
NYAP1	ENSG00000166924	chr7	100483927	100494802	protein_coding	NYAP1	ENSG00000166924	protein_coding	ENST00000300179	24.928	0.040116	0.19	FALSE	0.26835236	-0.734384221	0.106
NYAP2	ENSG00000144460	chr2	225399710	225654018	protein_coding	NYAP2	ENSG00000144460	protein_coding	ENST00000272907	24.029	0.41617	0.706	FALSE	0.373130823	-0.049589048	0.143269230769231
NYNRIN	ENSG00000205978	chr14	24399003	24419283	protein_coding	NYNRIN	ENSG00000205978	protein_coding	ENST00000382554	66.25	0.40755	0.562	FALSE	0.02562313	-1.510403842	0.178
NYX	ENSG00000188937	chrX	41447343	41475710	protein_coding	NYX	ENSG00000188937	protein_coding	ENST00000342595	5.543	0.36082	1.131	FALSE	0.066151034	NA	0.0171666666666667
OAF	ENSG00000184232	chr11	120211032	120230334	protein_coding	OAF	ENSG00000184232	protein_coding	ENST00000328965	8.8876	0.56258	1.181	FALSE	0.180576847	0.505250685	0.1406
OARD1	ENSG00000124596	chr6	41033627	41097787	protein_coding	OARD1	ENSG00000124596	protein_coding	ENST00000479950	8.8234	0.68001	1.337	FALSE	0.582190497	0.38716468	0.0429
OAS1	ENSG00000089127	chr12	112905856	112933219	protein_coding	OAS1	ENSG00000089127	protein_coding	ENST00000445409	18.307	0.54623	0.927	FALSE	0.003176615	1.532362402	0
OAS2	ENSG00000111335	chr12	112978395	113011723	protein_coding	OAS2	ENSG00000111335	protein_coding	ENST00000342315	35.34	0.9338	1.249	FALSE	0.001433626	-0.583179828	0.0886
OAS3	ENSG00000111331	chr12	112938051	112976460	protein_coding	OAS3	ENSG00000111331	protein_coding	ENST00000228928	49.839	1.0032	1.27	TRUE	0.003222049	1.704419324	0.0109090909090909
OASL	ENSG00000135114	chr12	121017763	121039242	protein_coding	OASL	ENSG00000135114	protein_coding	ENST00000257570	15.577	1.0271	1.553	FALSE	0.014966559	0.327481815	0
OAT	ENSG00000065154	chr10	124397303	124418976	protein_coding	OAT	ENSG00000065154	protein_coding	ENST00000368845	21.483	0.60512	0.962	FALSE	0.248692734	-0.160798272	0.049
OAZ1	ENSG00000104904	chr19	2269509	2273490	protein_coding	OAZ1	ENSG00000104904	protein_coding	ENST00000602676	10.734	0.2795	0.722	FALSE	0.108356142	0.731749506	0.001
OAZ2	ENSG00000180304	chr15	64687573	64703281	protein_coding	OAZ2	ENSG00000180304	protein_coding	ENST00000326005	8.3313	0.24006	0.756	FALSE	0.605243113	-0.057544689	0.093625
OAZ3	ENSG00000143450	chr1	151762899	151771334	protein_coding	OAZ3	ENSG00000143450	protein_coding	ENST00000321531	10.031	0.79755	1.432	FALSE	0.231536832	0.250171658	0
OBI1	ENSG00000152193	chr13	78614289	78659155	protein_coding	RNF219	ENSG00000152193	protein_coding	ENST00000282003	28.07	0.57	0.866	FALSE	NA	-0.483049599	0.191727272727273
OBP2A	ENSG00000122136	chr9	135546126	135549969	protein_coding	OBP2A	ENSG00000122136	protein_coding	ENST00000539850	9.2248	0.97564	1.656	FALSE	0.000333312	1.479108049	NA
OBP2B	ENSG00000171102	chr9	133205277	133209250	protein_coding	OBP2B	ENSG00000171102	protein_coding	ENST00000372034	9.2133	0.86831	1.545	FALSE	0.000533069	0.721291679	NA
OBSCN	ENSG00000154358	chr1	228208044	228378876	protein_coding	OBSCN	ENSG00000154358	protein_coding	ENST00000570156	374.57	0.79291	0.873	FALSE	0.023922951	14.31211987	0.0032
OBSL1	ENSG00000124006	chr2	219550728	219571859	protein_coding	OBSL1	ENSG00000124006	protein_coding	ENST00000404537	73.378	0.69503	0.878	FALSE	0.058487654	1.568697009	0.027
OC90	ENSG00000253117	chr8	132024216	132059382	protein_coding	OC90	ENSG00000253117	protein_coding	ENST00000254627	21.896	0.86774	1.273	TRUE	0.014734589	1.061188702	0.022
OCA2	ENSG00000104044	chr15	27754875	28099315	protein_coding	OCA2	ENSG00000104044	protein_coding	ENST00000354638	43.507	0.62059	0.856	FALSE	0.051084129	1.750350089	0
OCEL1	ENSG00000099330	chr19	17226213	17229219	protein_coding	OCEL1	ENSG00000099330	protein_coding	ENST00000215061	11.314	0.61869	1.162	FALSE	0.002358414	1.184768421	NA
OCIAD1	ENSG00000109180	chr4	48805212	48861817	protein_coding	OCIAD1	ENSG00000109180	protein_coding	ENST00000381473	18.14	0.66152	1.072	FALSE	0.286518739	-0.175010591	0.00835714285714286
OCIAD2	ENSG00000145247	chr4	48885019	48906937	protein_coding	OCIAD2	ENSG00000145247	protein_coding	ENST00000508632	10.748	0.7443	1.34	FALSE	0.070285976	0.52337625	0.04553125
OCLN	ENSG00000197822	chr5	69492292	69558104	protein_coding	OCLN	ENSG00000197822	protein_coding	ENST00000355237	21.731	0.59824	0.951	TRUE	0.435337108	0.32311526	0.0782857142857143
OCM	ENSG00000122543	chr7	5879827	5886363	protein_coding	OCM	ENSG00000122543	protein_coding	ENST00000242104	6.1911	1.6152	1.944	TRUE	0.124449462	0.433090861	0.000666666666666667
OCM2	ENSG00000135175	chr7	97984684	97991169	protein_coding	OCM2	ENSG00000135175	protein_coding	ENST00000257627	5.4956	0.54589	1.386	FALSE	0.115058978	0.540718671	0.001
OCRL	ENSG00000122126	chrX	129539849	129592561	protein_coding	OCRL	ENSG00000122126	protein_coding	ENST00000371113	40.685	0.049158	0.155	FALSE	0.531676693	-1.010601644	0.1274
OCSTAMP	ENSG00000149635	chr20	46540946	46550654	protein_coding	OCSTAMP	ENSG00000149635	protein_coding	ENST00000279028	10.582	0.56699	1.119	FALSE	0.004666753	NA	0.000333333333333333
ODAD1	ENSG00000105479	chr19	48296457	48321971	protein_coding	CCDC114	ENSG00000105479	protein_coding	ENST00000315396	26.509	0.6413	0.962	FALSE	NA	0.787972463	0.071
ODAD2	ENSG00000169126	chr10	27775186	27999079	protein_coding	ARMC4	ENSG00000169126	protein_coding	ENST00000305242	46.127	0.88885	1.153	FALSE	NA	-0.029445834	0
ODAD3	ENSG00000198003	chr19	11420604	11435782	protein_coding	CCDC151	ENSG00000198003	protein_coding	ENST00000356392	32.394	0.80261	1.114	FALSE	NA	-0.027719267	0.688
ODAD4	ENSG00000204815	chr17	41930617	41966503	protein_coding	TTC25	ENSG00000204815	protein_coding	NA	NA	NA	NA	FALSE	NA	NA	NA
ODAM	ENSG00000109205	chr4	70195725	70204576	protein_coding	ODAM	ENSG00000109205	protein_coding	ENST00000396094	20.705	1.0625	1.515	FALSE	0.019873269	0.227518047	0.0395
ODAPH	ENSG00000174792	chr4	75556048	75565871	protein_coding	C4orf26	ENSG00000174792	protein_coding	ENST00000435974	3.2806	0.60964	1.673	FALSE	NA	0.798767862	0.024125
ODC1	ENSG00000115758	chr2	10439968	10448327	protein_coding	ODC1	ENSG00000115758	protein_coding	ENST00000234111	19.353	0.25836	0.543	FALSE	0.56040961	-1.242231819	0.055
ODF1	ENSG00000155087	chr8	102551589	102561018	protein_coding	ODF1	ENSG00000155087	protein_coding	ENST00000285402	11.048	0	0.271	FALSE	0.078200909	0.661768703	0.371
ODF2	ENSG00000136811	chr9	128455186	128501292	protein_coding	ODF2	ENSG00000136811	protein_coding	ENST00000434106	49.8	0.3012	0.464	FALSE	0.331855819	-0.472588851	0.0129333333333333
ODF2L	ENSG00000122417	chr1	86346824	86396342	protein_coding	ODF2L	ENSG00000122417	protein_coding	ENST00000359242	33.292	0.90112	1.222	FALSE	0.127186268	0.573500337	0.0394838709677419
ODF3	ENSG00000177947	chr11	196761	200261	protein_coding	ODF3	ENSG00000177947	protein_coding	ENST00000325113	10.119	0.29648	0.766	FALSE	0.054317165	0.546645626	0.021
ODF3B	ENSG00000177989	chr22	50529710	50532506	protein_coding	ODF3B	ENSG00000177989	protein_coding	ENST00000329363	9.507	0.52593	1.105	FALSE	0.012689396	0.713012413	NA
ODF3L1	ENSG00000182950	chr15	75724041	75727688	protein_coding	ODF3L1	ENSG00000182950	protein_coding	ENST00000332145	12.161	1.1512	1.743	FALSE	0.006291242	0.69784917	0
ODF3L2	ENSG00000181781	chr19	463346	474983	protein_coding	ODF3L2	ENSG00000181781	protein_coding	ENST00000315489	5.5776	0.53786	1.369	FALSE	0.005772392	NA	0.064
ODF4	ENSG00000184650	chr17	8339840	8346048	protein_coding	ODF4	ENSG00000184650	protein_coding	ENST00000328248	7.5181	0.53205	1.214	FALSE	0.000931868	0.402155798	0
ODR4	ENSG00000157181	chr1	186375838	186421378	protein_coding	C1orf27	ENSG00000157181	protein_coding	ENST00000287859	23.073	0.60676	0.949	FALSE	NA	0.256884962	0.0419473684210526
OFD1	ENSG00000046651	chrX	13734743	13777955	protein_coding	OFD1	ENSG00000046651	protein_coding	ENST00000340096	40.891	0.17119	0.322	FALSE	0.028389991	-0.237782359	NA
OGA	ENSG00000198408	chr10	101784443	101818465	protein_coding	MGEA5	ENSG00000198408	protein_coding	ENST00000361464	45.749	0.17487	0.316	FALSE	NA	-0.942764706	0.0671
OGDH	ENSG00000105953	chr7	44606572	44709066	protein_coding	OGDH	ENSG00000105953	protein_coding	ENST00000222673	52.608	0.15207	0.274	FALSE	0.468638455	-1.566114872	0.215888888888889
OGDHL	ENSG00000197444	chr10	49734641	49762379	protein_coding	OGDHL	ENSG00000197444	protein_coding	ENST00000374103	47.473	0.48448	0.686	FALSE	0.21301718	-0.553377038	0.191
OGFOD1	ENSG00000087263	chr16	56451521	56479104	protein_coding	OGFOD1	ENSG00000087263	protein_coding	ENST00000566157	29.797	0.90615	1.25	FALSE	0.146033805	0.067876284	0.0385135135135135
OGFOD2	ENSG00000111325	chr12	122974580	122980043	protein_coding	OGFOD2	ENSG00000111325	protein_coding	ENST00000397389	13.259	1.2068	1.77	FALSE	0.036614047	0.464472709	0.00371428571428571
OGFOD3	ENSG00000181396	chr17	82389210	82418637	protein_coding	OGFOD3	ENSG00000181396	protein_coding	ENST00000329197	17.629	0.85086	1.31	FALSE	0.011088299	0.99651767	0.00492857142857143
OGFR	ENSG00000060491	chr20	62804835	62814000	protein_coding	OGFR	ENSG00000060491	protein_coding	ENST00000290291	14.66	0.34108	0.717	FALSE	0.002053441	NA	0.096
OGFRL1	ENSG00000119900	chr6	71288811	71309059	protein_coding	OGFRL1	ENSG00000119900	protein_coding	ENST00000370435	17.428	0.40165	0.754	FALSE	0.078220778	-0.398536759	0.0961555555555555
OGG1	ENSG00000114026	chr3	9749944	9788219	protein_coding	OGG1	ENSG00000114026	protein_coding	ENST00000302036	21.466	0.88514	1.299	FALSE	0.254725552	0.325918022	0.0032
OGN	ENSG00000106809	chr9	92383268	92404696	protein_coding	OGN	ENSG00000106809	protein_coding	ENST00000262551	13.34	0.52475	0.986	FALSE	0.401927693	-0.56708159	0.101230769230769
OGT	ENSG00000147162	chrX	71533104	71575892	protein_coding	OGT	ENSG00000147162	protein_coding	ENST00000373719	37.002	0	0.08	FALSE	0.924475508	-1.418115946	0.325363636363636
OIP5	ENSG00000104147	chr15	41309273	41332591	protein_coding	OIP5	ENSG00000104147	protein_coding	ENST00000220514	9.1585	1.0919	1.756	FALSE	0.077637755	-0.176573874	0.081195652173913
OIT3	ENSG00000138315	chr10	72893584	72933036	protein_coding	OIT3	ENSG00000138315	protein_coding	ENST00000334011	24.112	0.78799	1.156	FALSE	0.131831015	-0.501790511	0
OLA1	ENSG00000138430	chr2	174072447	174248599	protein_coding	OLA1	ENSG00000138430	protein_coding	ENST00000284719	20.558	0.29185	0.576	FALSE	0.973403137	-0.12237148	0.0483333333333333
OLAH	ENSG00000152463	chr10	15032227	15073853	protein_coding	OLAH	ENSG00000152463	protein_coding	ENST00000378217	13.368	1.0472	1.62	FALSE	0.002043573	0.063508308	0
OLFM1	ENSG00000130558	chr9	135075422	135121180	protein_coding	OLFM1	ENSG00000130558	protein_coding	ENST00000252854	21.301	0.046946	0.223	FALSE	0.232549612	-1.014153377	0.111769230769231
OLFM2	ENSG00000105088	chr19	9853718	9936515	protein_coding	OLFM2	ENSG00000105088	protein_coding	ENST00000264833	17.081	0.29272	0.615	FALSE	0.106406338	-0.763589585	0.0247222222222222
OLFM3	ENSG00000118733	chr1	101802560	101996926	protein_coding	OLFM3	ENSG00000118733	protein_coding	ENST00000370103	22.817	0.39445	0.688	FALSE	0.483673581	-0.689078349	0.0296451612903226
OLFM4	ENSG00000102837	chr13	53028813	53052057	protein_coding	OLFM4	ENSG00000102837	protein_coding	ENST00000219022	16.529	0.66549	1.102	TRUE	0.029232639	0.146132543	0.0472
OLFML1	ENSG00000183801	chr11	7485388	7511377	protein_coding	OLFML1	ENSG00000183801	protein_coding	ENST00000329293	17.746	0.7889	1.233	TRUE	0.096739969	1.215535783	0.0181818181818182
OLFML2A	ENSG00000185585	chr9	124777133	124814885	protein_coding	OLFML2A	ENSG00000185585	protein_coding	ENST00000373580	26.8	0.67163	0.996	TRUE	0.122107318	0.999329894	0.0950833333333333
OLFML2B	ENSG00000162745	chr1	161983192	162023869	protein_coding	OLFML2B	ENSG00000162745	protein_coding	ENST00000294794	35.275	0.76542	1.056	TRUE	0.057524461	0.457440814	0.334
OLFML3	ENSG00000116774	chr1	113979391	114035572	protein_coding	OLFML3	ENSG00000116774	protein_coding	ENST00000320334	16.533	0.78632	1.25	FALSE	0.204742532	-0.317311927	0.1018
OLIG1	ENSG00000184221	chr21	33070141	33072413	protein_coding	OLIG1	ENSG00000184221	protein_coding	ENST00000382348	3.5061	0	0.849	FALSE	0.300545685	NA	0.0391
OLIG2	ENSG00000205927	chr21	33025935	33029196	protein_coding	OLIG2	ENSG00000205927	protein_coding	ENST00000333337	4.7301	0.42282	1.308	FALSE	0.467541328	NA	0.0987142857142857
OLIG3	ENSG00000177468	chr6	137492199	137494394	protein_coding	OLIG3	ENSG00000177468	protein_coding	ENST00000367734	5.9138	0	0.506	FALSE	0.687725748	-0.158453138	0.0783333333333333
OLR1	ENSG00000173391	chr12	10158301	10172138	protein_coding	OLR1	ENSG00000173391	protein_coding	ENST00000309539	14.874	0.40338	0.796	FALSE	0.013756708	-0.096753576	0.06109375
OMA1	ENSG00000162600	chr1	58415384	58546802	protein_coding	OMA1	ENSG00000162600	protein_coding	ENST00000371226	25.671	0.77909	1.132	FALSE	0.015429435	0.777508485	0.0234545454545455
OMD	ENSG00000127083	chr9	92412380	92424471	protein_coding	OMD	ENSG00000127083	protein_coding	ENST00000375550	12.302	0.73161	1.276	FALSE	0.439373579	0.330611299	0.0439259259259259
OMG	ENSG00000126861	chr17	31272013	31297539	protein_coding	OMG	ENSG00000126861	protein_coding	ENST00000247271	10.955	0	0.273	FALSE	0.766462087	-0.262327966	0.474
OMP	ENSG00000254550	chr11	77102840	77103331	protein_coding	OMP	ENSG00000254550	protein_coding	ENST00000529803	5.0331	0.99342	1.802	FALSE	0.144610866	0.703164397	0.0257647058823529
ONECUT1	ENSG00000169856	chr15	52755053	52791078	protein_coding	ONECUT1	ENSG00000169856	protein_coding	ENST00000305901	10.637	0.18802	0.592	FALSE	0.894507632	-0.021624813	0.172820512820513
ONECUT2	ENSG00000119547	chr18	57435374	57491298	protein_coding	ONECUT2	ENSG00000119547	protein_coding	ENST00000491143	12.054	0.08296	0.394	FALSE	0.569949566	-0.862939096	0.334907692307692
ONECUT3	ENSG00000205922	chr19	1753506	1780988	protein_coding	ONECUT3	ENSG00000205922	protein_coding	ENST00000382349	4.9583	0.80673	1.692	FALSE	0.017168355	NA	0.249837209302326
OOEP	ENSG00000203907	chr6	73368555	73395133	protein_coding	OOEP	ENSG00000203907	protein_coding	ENST00000370359	6.571	0.9131	1.697	FALSE	0.000644797	-0.021463089	6e-04
OOSP1	ENSG00000284873	chr11	59938432	59957480	protein_coding	OOSP1	ENSG00000214788	unitary_pseudogene	ENST00000398992	4.8815	0.20485	0.969	FALSE	NA	NA	NA
OOSP2	ENSG00000149507	chr11	60040409	60048044	protein_coding	OOSP2	ENSG00000149507	protein_coding	ENST00000278855	5.7686	0.52005	1.328	FALSE	0.001420694	-0.004905577	NA
OOSP3	ENSG00000285231	chr11	59878809	59896481	protein_coding	NA	ENSG00000285231	NA	NA	NA	NA	NA	FALSE	NA	NA	NA
OOSP4A	ENSG00000285010	chr11	59964033	59970146	protein_coding	NA	ENSG00000285010	NA	NA	NA	NA	NA	FALSE	NA	NA	NA
OOSP4B	ENSG00000255393	chr11	59978020	60031077	protein_coding	RP11-736I10.1	ENSG00000255393	lincRNA	NA	NA	NA	NA	FALSE	NA	NA	NA
OPA1	ENSG00000198836	chr3	193593144	193697811	protein_coding	OPA1	ENSG00000198836	protein_coding	ENST00000361908	70.318	0.18487	0.294	FALSE	0.756692356	-0.916527384	0.0579411764705882
OPA3	ENSG00000125741	chr19	45527427	45602212	protein_coding	OPA3	ENSG00000125741	protein_coding	ENST00000323060	2.5417	0	1.134	FALSE	0.024740326	-0.518970077	0.0209019607843137
OPALIN	ENSG00000197430	chr10	96343221	96359365	protein_coding	OPALIN	ENSG00000197430	protein_coding	ENST00000371172	7.1729	0.69707	1.446	FALSE	0.011841887	0.605382985	0.0311153846153846
OPCML	ENSG00000183715	chr11	132414977	133532501	protein_coding	OPCML	ENSG00000183715	protein_coding	ENST00000331898	15.933	0.25106	0.575	FALSE	0.993302342	-0.142677362	0.119926829268293
OPHN1	ENSG00000079482	chrX	67949349	68433913	protein_coding	OPHN1	ENSG00000079482	protein_coding	ENST00000355520	29.485	0.033915	0.161	FALSE	0.210927262	-0.023577623	0.0580425531914894
OPLAH	ENSG00000178814	chr8	144051266	144063965	protein_coding	OPLAH	ENSG00000178814	protein_coding	ENST00000426825	52.178	0.65161	0.868	TRUE	0.085381041	NA	0
OPN1LW	ENSG00000102076	chrX	154144243	154159032	protein_coding	OPN1LW	ENSG00000102076	protein_coding	ENST00000369951	11.388	0	0.263	FALSE	0.035400156	1.01338132	5e-04
OPN1MW	ENSG00000268221	chrX	154182596	154196861	protein_coding	OPN1MW	ENSG00000268221	protein_coding	ENST00000369935	2.7425	0.72927	1.78	FALSE	0.025010125	NA	0.0655
OPN1MW2	ENSG00000166160	chrX	154219756	154233286	protein_coding	OPN1MW2	ENSG00000166160	protein_coding	ENST00000369929	3.3377	0.29961	1.36	FALSE	0.016892753	NA	0.06675
OPN1MW3	ENSG00000269433	chrX	154257538	154271805	protein_coding	OPN1MW3	ENSG00000269433	protein_coding	NA	NA	NA	NA	FALSE	NA	NA	NA
OPN1SW	ENSG00000128617	chr7	128772485	128775794	protein_coding	OPN1SW	ENSG00000128617	protein_coding	ENST00000249389	13.384	0.37359	0.786	TRUE	0.166293665	0.255319956	0.0871538461538462
OPN3	ENSG00000054277	chr1	241590102	241677376	protein_coding	OPN3	ENSG00000054277	protein_coding	ENST00000366554	14.704	0.47606	0.894	FALSE	0.263540227	0.214708724	0.0914545454545455
OPN4	ENSG00000122375	chr10	86654547	86666848	protein_coding	OPN4	ENSG00000122375	protein_coding	ENST00000372071	22.483	0.88956	1.293	TRUE	0.072697833	-0.386669418	0.0103
OPN5	ENSG00000124818	chr6	47781982	47832780	protein_coding	OPN5	ENSG00000124818	protein_coding	ENST00000371211	19.637	0.15277	0.395	FALSE	0.544133819	-0.394006823	0.024875
