Gene	gene_id	type	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	x_class	Balaton.consensus.calls	Cotton_AR	Tuk_Skew_AR	Tuk_SC_AR	garieri_AR	sauteraud_AR	mean_AR_public
H2AB3	ENSG00000277745	protein_coding	chrX	155459415	155460005	H2AFB3	ENSG00000277745	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
H2AL1RP	ENSG00000229674	protein_coding	chrX	37994252	37994918	AL121578.7	ENSG00000229674	processed_pseudogene	Single-copy	NA	NA	NA	NA	NA	NA	NA
H2AP	ENSG00000187516	protein_coding	chrX	37990779	37991314	HYPM	ENSG00000187516	protein_coding	Single-copy	NA	NA	NA	NA	NA	NA	NA
H2BW1	ENSG00000123569	protein_coding	chrX	104011147	104013708	H2BFWT	ENSG00000123569	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
H2BW2	ENSG00000101812	protein_coding	chrX	104039956	104042454	H2BFM	ENSG00000101812	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
HAUS7	ENSG00000213397	protein_coding	chrX	153447668	153495516	HAUS7	ENSG00000213397	protein_coding	Single-copy	S	0.01	NA	NA	NA	0.014247928	0.012123964
HCCS	ENSG00000004961	protein_coding	chrX	11111301	11123086	HCCS	ENSG00000004961	protein_coding	Single-copy	S	NA	NA	NA	NA	0.062207955	0.062207955
HCFC1	ENSG00000172534	protein_coding	chrX	153947557	153971818	HCFC1	ENSG00000172534	protein_coding	Single-copy	Mostly VE	0.11	0	0.0980392156862745	NA	0.070054663	0.0695234696715686
HDAC6	ENSG00000094631	protein_coding	chrX	48801377	48824982	HDAC6	ENSG00000094631	protein_coding	Single-copy	Mostly S	0.02	NA	NA	NA	0.055566611	0.0377833055
HDAC8	ENSG00000147099	protein_coding	chrX	72329516	72573101	HDAC8	ENSG00000147099	protein_coding	Single-copy	S	0.01	NA	0	NA	0.01173172	0.00724390666666667
HDX	ENSG00000165259	protein_coding	chrX	84317874	84502479	HDX	ENSG00000165259	protein_coding	Single-copy	S	0.04	NA	NA	0.0034226747435504	NA	0.0217113373717752
HEPH	ENSG00000089472	protein_coding	chrX	66162671	66268867	HEPH	ENSG00000089472	protein_coding	Single-copy	S	0.11	NA	NA	NA	0	0.055
HMGB3	ENSG00000029993	protein_coding	chrX	150980509	150990771	HMGB3	ENSG00000029993	protein_coding	Single-copy	S	NA	0	NA	NA	0.002665712	0.001332856
HMGN5	ENSG00000198157	protein_coding	chrX	81113699	81201913	HMGN5	ENSG00000198157	protein_coding	Single-copy	Discordant	0.2	NA	NA	NA	0.018699028	0.109349514
HNRNPH2	ENSG00000126945	protein_coding	chrX	101408222	101414133	HNRNPH2	ENSG00000126945	protein_coding	Single-copy	S	0	0	NA	NA	0.014344934	0.00478164466666667
HPRT1	ENSG00000165704	protein_coding	chrX	134460165	134520513	HPRT1	ENSG00000165704	protein_coding	Single-copy	S	0.01	NA	NA	NA	0	0.005
HS6ST2	ENSG00000171004	protein_coding	chrX	132626016	132961395	HS6ST2	ENSG00000171004	protein_coding	Single-copy	Discordant	0.45	NA	NA	NA	NA	0.45
HSD17B10	ENSG00000072506	protein_coding	chrX	53431258	53434370	HSD17B10	ENSG00000072506	protein_coding	Single-copy	Mostly S	NA	NA	NA	NA	0.194049927	0.194049927
HSFX1	ENSG00000171116	protein_coding	chrX	149774068	149776867	HSFX1	ENSG00000171116	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
HSFX2	ENSG00000268738	protein_coding	chrX	149592512	149595314	HSFX2	ENSG00000268738	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
HSFX3	ENSG00000283697	protein_coding	chrX	149548210	149549924	NA	ENSG00000283697	NA	Ampliconic	NA	NA	NA	NA	NA	NA	NA
HSFX4	ENSG00000283463	protein_coding	chrX	149929573	149931287	NA	ENSG00000283463	NA	Ampliconic	NA	NA	NA	NA	NA	NA	NA
HTATSF1	ENSG00000102241	protein_coding	chrX	136497079	136512346	HTATSF1	ENSG00000102241	protein_coding	Single-copy	S	0.01	NA	NA	0	0.008289487	0.00609649566666667
HTR2C	ENSG00000147246	protein_coding	chrX	114584078	114910061	HTR2C	ENSG00000147246	protein_coding	Single-copy	Mostly E	NA	NA	NA	NA	NA	NA
HUWE1	ENSG00000086758	protein_coding	chrX	53532096	53686728	HUWE1	ENSG00000086758	protein_coding	Single-copy	Mostly S	0.02	0	NA	0.0688716776796079	0.032157664	0.030257335419902
IDH3G	ENSG00000067829	protein_coding	chrX	153785766	153794523	IDH3G	ENSG00000067829	protein_coding	Single-copy	S	0.02	NA	NA	NA	0.002757209	0.0113786045
IDS	ENSG00000010404	protein_coding	chrX	149476988	149521096	IDS	ENSG00000010404	protein_coding	Single-copy	S	0.03	0	0.0184640522875817	0.00359789846600056	0.014359579	0.0132843059507165
IGBP1	ENSG00000089289	protein_coding	chrX	70133447	70166324	IGBP1	ENSG00000089289	protein_coding	Single-copy	Mostly S	0.01	NA	NA	0.00211646998460746	0.022712625	0.0116096983282025
IGSF1	ENSG00000147255	protein_coding	chrX	131273506	131578899	IGSF1	ENSG00000147255	protein_coding	Single-copy	S	0.1	NA	NA	NA	NA	0.1
IKBKG	ENSG00000269335	protein_coding	chrX	154541199	154565046	IKBKG	ENSG00000269335	protein_coding	Single-copy	Mostly S	NA	NA	NA	NA	0	0
IL13RA1	ENSG00000131724	protein_coding	chrX	118727133	118794535	IL13RA1	ENSG00000131724	protein_coding	Single-copy	Mostly S	0.11	NA	NA	NA	NA	0.11
IL13RA2	ENSG00000123496	protein_coding	chrX	115003975	115019977	IL13RA2	ENSG00000123496	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
IL1RAPL1	ENSG00000169306	protein_coding	chrX	28587446	29956718	IL1RAPL1	ENSG00000169306	protein_coding	Single-copy	Discordant	0.22	NA	NA	NA	0.404164609	0.3120823045
IL1RAPL2	ENSG00000189108	protein_coding	chrX	104566199	105767829	IL1RAPL2	ENSG00000189108	protein_coding	Single-copy	Discordant	0.13	NA	NA	NA	NA	0.13
IL2RG	ENSG00000147168	protein_coding	chrX	71107404	71112108	IL2RG	ENSG00000147168	protein_coding	Single-copy	No call	NA	NA	NA	NA	0.004310345	0.004310345
IL3RA	ENSG00000185291	protein_coding	chrX	1336616	1382689	IL3RA	ENSG00000185291	protein_coding	PAR	PAR	0.71	0.615384615384615	NA	NA	0.589905719	0.638430111461538
IL9R	ENSG00000124334	protein_coding	chrX	155997581	156010817	IL9R	ENSG00000124334	protein_coding	PAR	S	0.09	NA	NA	NA	NA	0.09
INTS6L	ENSG00000165359	protein_coding	chrX	135520659	135582510	DDX26B	ENSG00000165359	protein_coding	Ampliconic	S	NA	NA	NA	NA	0.019616364	0.019616364
IQSEC2	ENSG00000124313	protein_coding	chrX	53225828	53321350	IQSEC2	ENSG00000124313	protein_coding	Single-copy	Mostly E	0.1	NA	NA	NA	NA	0.1
IRAK1	ENSG00000184216	protein_coding	chrX	154010506	154019902	IRAK1	ENSG00000184216	protein_coding	Single-copy	Mostly S	NA	0	NA	NA	0.018472057	0.0092360285
IRS4	ENSG00000133124	protein_coding	chrX	108719946	108736563	IRS4	ENSG00000133124	protein_coding	Single-copy	Mostly S	NA	NA	NA	NA	NA	NA
ITGB1BP2	ENSG00000147166	protein_coding	chrX	71301750	71305371	ITGB1BP2	ENSG00000147166	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
ITIH6	ENSG00000102313	protein_coding	chrX	54748918	54798255	ITIH6	ENSG00000102313	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
ITM2A	ENSG00000078596	protein_coding	chrX	79360384	79367667	ITM2A	ENSG00000078596	protein_coding	Single-copy	Discordant	0.05	NA	NA	NA	0.023695813	0.0368479065
JADE3	ENSG00000102221	protein_coding	chrX	46912276	47061242	JADE3	ENSG00000102221	protein_coding	Single-copy	Mostly S	0.14	NA	NA	NA	NA	0.14
JPX	ENSG00000225470	lncRNA	chrX	73944182	74070408	JPX	ENSG00000225470	lincRNA	Single-copy	E	0.63	NA	NA	NA	0.191490193	0.4107450965
KANTR	ENSG00000232593	protein_coding	chrX	53094145	53170914	KANTR	ENSG00000232593	lincRNA	Single-copy	NA	NA	NA	NA	NA	NA	NA
KCND1	ENSG00000102057	protein_coding	chrX	48961378	48971844	KCND1	ENSG00000102057	protein_coding	Single-copy	Mostly S	NA	NA	NA	NA	NA	NA
KCNE5	ENSG00000176076	protein_coding	chrX	109623700	109625172	KCNE5	ENSG00000176076	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
KDM5C	ENSG00000126012	protein_coding	chrX	53191321	53225422	KDM5C	ENSG00000126012	protein_coding	Single-copy	Mostly E	0.48	NA	NA	NA	0.609154296	0.544577148
KDM6A	ENSG00000147050	protein_coding	chrX	44873188	45112779	KDM6A	ENSG00000147050	protein_coding	Single-copy	Mostly E	0.49	NA	NA	0.136611624354405	0.675508211	0.434039945118135
KIAA1210	ENSG00000250423	protein_coding	chrX	119078635	119150579	KIAA1210	ENSG00000250423	protein_coding	Single-copy	VE	0.16	NA	NA	NA	NA	0.16
KIF4A	ENSG00000090889	protein_coding	chrX	70290104	70420886	KIF4A	ENSG00000090889	protein_coding	Single-copy	S	0.02	NA	NA	0.00144007082184183	0.044851548	0.0220972062739473
KLF8	ENSG00000102349	protein_coding	chrX	56232356	56291531	KLF8	ENSG00000102349	protein_coding	Single-copy	S	0.05	NA	NA	NA	NA	0.05
KLHL13	ENSG00000003096	protein_coding	chrX	117897813	118117340	KLHL13	ENSG00000003096	protein_coding	Single-copy	Mostly S	0.1	NA	NA	NA	NA	0.1
KLHL15	ENSG00000174010	protein_coding	chrX	23983720	24027186	KLHL15	ENSG00000174010	protein_coding	Single-copy	S	0.03	NA	NA	NA	0.028954034	0.029477017
KLHL34	ENSG00000185915	protein_coding	chrX	21654690	21658330	KLHL34	ENSG00000185915	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
KLHL4	ENSG00000102271	protein_coding	chrX	87517409	87670050	KLHL4	ENSG00000102271	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
KRBOX4	ENSG00000147121	protein_coding	chrX	46447292	46497422	KRBOX4	ENSG00000147121	protein_coding	Multicopy	S	0.01	NA	NA	0.00338240207740292	0.04189088	0.0184244273591343
L1CAM	ENSG00000198910	protein_coding	chrX	153861514	153886173	L1CAM	ENSG00000198910	protein_coding	Single-copy	Mostly E	0.06	NA	NA	NA	NA	0.06
LAGE3	ENSG00000196976	protein_coding	chrX	154477769	154479257	LAGE3	ENSG00000196976	protein_coding	Single-copy	S	NA	NA	0	NA	0.005266467	0.0026332335
LAMP2	ENSG00000005893	protein_coding	chrX	120426148	120469365	LAMP2	ENSG00000005893	protein_coding	Single-copy	Mostly S	0.01	0	NA	0.00374597999735005	0.01415595	0.00697548249933751
LANCL3	ENSG00000147036	protein_coding	chrX	37571569	37684463	LANCL3	ENSG00000147036	protein_coding	Single-copy	Mostly S	0.55	NA	NA	NA	NA	0.55
LAS1L	ENSG00000001497	protein_coding	chrX	65438549	65534810	LAS1L	ENSG00000001497	protein_coding	Single-copy	S	0	NA	NA	NA	0.045338551	0.0226692755
LDOC1	ENSG00000182195	protein_coding	chrX	141111605	141177129	LDOC1	ENSG00000182195	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
LHFPL1	ENSG00000182508	protein_coding	chrX	112630648	112680054	LHFPL1	ENSG00000182508	protein_coding	Single-copy	Discordant	0.15	NA	NA	NA	NA	0.15
LONRF3	ENSG00000175556	protein_coding	chrX	118974614	119018355	LONRF3	ENSG00000175556	protein_coding	Single-copy	Mostly S	0.16	NA	NA	NA	NA	0.16
LPAR4	ENSG00000147145	protein_coding	chrX	78747709	78758714	LPAR4	ENSG00000147145	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
LRCH2	ENSG00000130224	protein_coding	chrX	115110616	115234096	LRCH2	ENSG00000130224	protein_coding	Single-copy	Discordant	0.36	NA	NA	NA	NA	0.36
LUZP4	ENSG00000102021	protein_coding	chrX	115289715	115307563	LUZP4	ENSG00000102021	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
MAGEA1	ENSG00000198681	protein_coding	chrX	153179284	153183880	MAGEA1	ENSG00000198681	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEA10	ENSG00000124260	protein_coding	chrX	152133310	152138578	MAGEA10	ENSG00000124260	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
MAGEA11	ENSG00000185247	protein_coding	chrX	149688228	149717268	MAGEA11	ENSG00000185247	protein_coding	Multicopy	VE	0.16	NA	NA	NA	NA	0.16
MAGEA12	ENSG00000213401	protein_coding	chrX	152733757	152737669	MAGEA12	ENSG00000213401	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEA2	ENSG00000268606	protein_coding	chrX	152749863	152753884	MAGEA2	ENSG00000268606	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
MAGEA2B	ENSG00000183305	protein_coding	chrX	152714586	152718607	MAGEA2B	ENSG00000183305	protein_coding	Ampliconic	NA	NA	NA	NA	NA	NA	NA
MAGEA3	ENSG00000221867	protein_coding	chrX	152698767	152702347	MAGEA3	ENSG00000221867	protein_coding	Ampliconic	No call	NA	NA	NA	NA	0.042414661	0.042414661
MAGEA4	ENSG00000147381	protein_coding	chrX	151912495	151925171	MAGEA4	ENSG00000147381	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEA6	ENSG00000197172	protein_coding	chrX	152766136	152769747	MAGEA6	ENSG00000197172	protein_coding	Ampliconic	No call	NA	NA	NA	NA	0.325102232	0.325102232
MAGEA8	ENSG00000156009	protein_coding	chrX	149881141	149885835	MAGEA8	ENSG00000156009	protein_coding	Ampliconic	VE	NA	NA	NA	NA	NA	NA
MAGEA9	ENSG00000123584	protein_coding	chrX	149781930	149787737	MAGEA9	ENSG00000123584	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
MAGEA9B	ENSG00000267978	protein_coding	chrX	149581653	149587459	MAGEA9B	ENSG00000267978	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
MAGEB1	ENSG00000214107	protein_coding	chrX	30243715	30252040	MAGEB1	ENSG00000214107	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEB10	ENSG00000177689	protein_coding	chrX	27807990	27823014	MAGEB10	ENSG00000177689	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEB16	ENSG00000189023	protein_coding	chrX	35798342	35803735	MAGEB16	ENSG00000189023	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEB17	ENSG00000182798	protein_coding	chrX	16167481	16171464	MAGEB17	ENSG00000182798	protein_coding	Multicopy	NA	NA	NA	NA	NA	NA	NA
MAGEB18	ENSG00000176774	protein_coding	chrX	26138343	26140736	MAGEB18	ENSG00000176774	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEB2	ENSG00000099399	protein_coding	chrX	30215563	30220089	MAGEB2	ENSG00000099399	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEB3	ENSG00000198798	protein_coding	chrX	30230657	30237495	MAGEB3	ENSG00000198798	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEB4	ENSG00000120289	protein_coding	chrX	30242000	30244187	MAGEB4	ENSG00000120289	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEB5	ENSG00000188408	protein_coding	chrX	26216169	26218270	MAGEB5	ENSG00000188408	protein_coding	Multicopy	NA	NA	NA	NA	NA	NA	NA
MAGEB6	ENSG00000176746	protein_coding	chrX	26192440	26195646	MAGEB6	ENSG00000176746	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEB6B	ENSG00000232030	protein_coding	chrX	26160601	26161824	MAGEB6P1	ENSG00000232030	protein_coding	Multicopy	NA	NA	NA	NA	NA	NA	NA
MAGEC1	ENSG00000155495	protein_coding	chrX	141903894	141909374	MAGEC1	ENSG00000155495	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEC2	ENSG00000046774	protein_coding	chrX	142202342	142205290	MAGEC2	ENSG00000046774	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGEC3	ENSG00000165509	protein_coding	chrX	141838316	141897832	MAGEC3	ENSG00000165509	protein_coding	Multicopy	No call	NA	NA	NA	NA	NA	NA
MAGED1	ENSG00000179222	protein_coding	chrX	51803007	51902354	MAGED1	ENSG00000179222	protein_coding	Ampliconic	S	0.01	0	0	0.0043659789103232	0.036147106	0.0101026169820646
MAGED2	ENSG00000102316	protein_coding	chrX	54807599	54816015	MAGED2	ENSG00000102316	protein_coding	Single-copy	Mostly S	0.03	NA	0	0.00338114891500618	0.014915986	0.0120742837287515
MAGED4	ENSG00000154545	protein_coding	chrX	52184876	52192268	MAGED4	ENSG00000154545	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
MAGED4B	ENSG00000187243	protein_coding	chrX	52061827	52069248	MAGED4B	ENSG00000187243	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
MAGEE1	ENSG00000198934	protein_coding	chrX	76427710	76431342	MAGEE1	ENSG00000198934	protein_coding	Single-copy	Discordant	NA	NA	NA	NA	NA	NA
MAGEE2	ENSG00000186675	protein_coding	chrX	75782987	75785254	MAGEE2	ENSG00000186675	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
MAGEH1	ENSG00000187601	protein_coding	chrX	55452127	55453566	MAGEH1	ENSG00000187601	protein_coding	Single-copy	S	NA	NA	NA	NA	0.02338962	0.02338962
MAGIX	ENSG00000269313	protein_coding	chrX	49162564	49168483	MAGIX	ENSG00000269313	protein_coding	Single-copy	Mostly S	0.01	NA	NA	NA	NA	0.01
MAGT1	ENSG00000102158	protein_coding	chrX	77825747	77895593	MAGT1	ENSG00000102158	protein_coding	Single-copy	S	NA	NA	NA	NA	0.010793046	0.010793046
MAMLD1	ENSG00000013619	protein_coding	chrX	150361422	150514178	MAMLD1	ENSG00000013619	protein_coding	Single-copy	Mostly S	0.21	NA	NA	0.00369258502028957	NA	0.106846292510145
MAOA	ENSG00000189221	protein_coding	chrX	43654907	43746824	MAOA	ENSG00000189221	protein_coding	Multicopy	Mostly S	NA	NA	NA	NA	NA	NA
MAOB	ENSG00000069535	protein_coding	chrX	43766610	43882450	MAOB	ENSG00000069535	protein_coding	Multicopy	S	0.12	NA	NA	NA	NA	0.12
MAP3K15	ENSG00000180815	protein_coding	chrX	19360056	19515508	MAP3K15	ENSG00000180815	protein_coding	Single-copy	Mostly S	0.1	NA	NA	NA	0.080854924	0.090427462
MAP7D2	ENSG00000184368	protein_coding	chrX	20006713	20116907	MAP7D2	ENSG00000184368	protein_coding	Single-copy	Discordant	0.34	NA	NA	NA	0.121279108	0.230639554
MAP7D3	ENSG00000129680	protein_coding	chrX	136213220	136256482	MAP7D3	ENSG00000129680	protein_coding	Single-copy	S	0.02	0	0.0121951219512195	0.00628829555894783	0.024202623	0.0125372081020335
MBNL3	ENSG00000076770	protein_coding	chrX	132369317	132489968	MBNL3	ENSG00000076770	protein_coding	Single-copy	Mostly S	0.04	NA	NA	NA	0.034203369	0.0371016845
MBTPS2	ENSG00000012174	protein_coding	chrX	21839617	21885423	MBTPS2	ENSG00000012174	protein_coding	Single-copy	S	0.01	NA	NA	NA	0.020715964	0.015357982
MCF2	ENSG00000101977	protein_coding	chrX	139581770	139708227	MCF2	ENSG00000101977	protein_coding	Single-copy	S	0.05	NA	NA	NA	NA	0.05
MCTS1	ENSG00000232119	protein_coding	chrX	120594010	120621159	MCTS1	ENSG00000232119	protein_coding	Single-copy	S	0.01	NA	NA	0.00598865043604579	0.033070856	0.0163531688120153
MECP2	ENSG00000169057	protein_coding	chrX	154021573	154137103	MECP2	ENSG00000169057	protein_coding	Single-copy	S	0.03	0	NA	0	0.006468636	0.009117159
MED12	ENSG00000184634	protein_coding	chrX	71118556	71142454	MED12	ENSG00000184634	protein_coding	Single-copy	S	0.03	0	NA	NA	0.01788741	0.01596247
MED14	ENSG00000180182	protein_coding	chrX	40648305	40735858	MED14	ENSG00000180182	protein_coding	Single-copy	VE	0.13	0	NA	0.0829204403250043	0.079400953	0.0730803483312511
MID1	ENSG00000101871	protein_coding	chrX	10445310	10833654	MID1	ENSG00000101871	protein_coding	Multicopy	Mostly S	0.07	NA	NA	NA	NA	0.07
MID1IP1	ENSG00000165175	protein_coding	chrX	38801432	38806537	MID1IP1	ENSG00000165175	protein_coding	Single-copy	S	NA	NA	NA	NA	0.036773178	0.036773178
MID2	ENSG00000080561	protein_coding	chrX	107825755	107931637	MID2	ENSG00000080561	protein_coding	Multicopy	Mostly S	0.15	NA	NA	NA	NA	0.15
MMGT1	ENSG00000169446	protein_coding	chrX	135960588	135974029	MMGT1	ENSG00000169446	protein_coding	Single-copy	S	0.04	0	NA	NA	0.035668253	0.025222751
MORC4	ENSG00000133131	protein_coding	chrX	106813871	107000212	MORC4	ENSG00000133131	protein_coding	Single-copy	Mostly S	0.14	NA	NA	0.0020361374312603	NA	0.0710180687156302
MORF4L2	ENSG00000123562	protein_coding	chrX	103675496	103688158	MORF4L2	ENSG00000123562	protein_coding	Single-copy	Mostly S	0.03	NA	NA	0.0178282801551983	0.016348327	0.0213922023850661
MOSPD1	ENSG00000101928	protein_coding	chrX	134887632	134915257	MOSPD1	ENSG00000101928	protein_coding	Single-copy	S	0.05	0.0625	NA	0.00243993881106608	NA	0.038313312937022
MOSPD2	ENSG00000130150	protein_coding	chrX	14873421	14922327	MOSPD2	ENSG00000130150	protein_coding	Single-copy	S	0.02	NA	NA	0.0023022883563546	0.011877717	0.0113933351187849
MPC1L	ENSG00000238205	protein_coding	chrX	40623428	40624136	MPC1L	ENSG00000238205	processed_pseudogene	Single-copy	E	NA	NA	NA	NA	NA	NA
MPP1	ENSG00000130830	protein_coding	chrX	154778684	154821007	MPP1	ENSG00000130830	protein_coding	Single-copy	S	0.04	NA	NA	NA	0	0.02
MSL3	ENSG00000005302	protein_coding	chrX	11758159	11775772	MSL3	ENSG00000005302	protein_coding	Single-copy	Discordant	0.54	NA	0.428529824922054	NA	0.507695529	0.492075117974018
MSN	ENSG00000147065	protein_coding	chrX	65588377	65741931	MSN	ENSG00000147065	protein_coding	Single-copy	S	0.01	NA	NA	NA	0.06287883	0.036439415
MTCP1	ENSG00000214827	protein_coding	chrX	155064034	155147937	MTCP1	ENSG00000214827	protein_coding	Single-copy	S	NA	NA	NA	NA	0	0
MTM1	ENSG00000171100	protein_coding	chrX	150568621	150673143	MTM1	ENSG00000171100	protein_coding	Single-copy	S	0.04	NA	NA	0	NA	0.02
MTMR1	ENSG00000063601	protein_coding	chrX	150692971	150765108	MTMR1	ENSG00000063601	protein_coding	Single-copy	S	0.02	NA	NA	0.00906238931846914	0.026613115	0.0185585014394897
MTMR8	ENSG00000102043	protein_coding	chrX	64268081	64395452	MTMR8	ENSG00000102043	protein_coding	Single-copy	S	0.03	NA	NA	NA	NA	0.03
MTRNR2L10	ENSG00000256045	protein_coding	chrX	55181392	55182442	MTRNR2L10	ENSG00000256045	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
MXRA5	ENSG00000101825	protein_coding	chrX	3308565	3346652	MXRA5	ENSG00000101825	protein_coding	Single-copy	Mostly E	0.23	NA	NA	0.164419531041678	NA	0.197209765520839
NAA10	ENSG00000102030	protein_coding	chrX	153929225	153935080	NAA10	ENSG00000102030	protein_coding	Single-copy	Mostly VE	0.17	NA	NA	NA	0.46518398	0.31759199
NAP1L2	ENSG00000186462	protein_coding	chrX	73212299	73214851	NAP1L2	ENSG00000186462	protein_coding	Single-copy	S	NA	NA	NA	NA	0	0
NAP1L3	ENSG00000186310	protein_coding	chrX	93670930	93673578	NAP1L3	ENSG00000186310	protein_coding	Single-copy	Mostly E	NA	NA	NA	0.00114612117913671	NA	0.00114612117913671
NBDY	ENSG00000204272	protein_coding	chrX	56729241	56819179	LINC01420	ENSG00000204272	protein_coding	Single-copy	NA	NA	NA	NA	NA	NA	NA
NCBP2L	ENSG00000170935	protein_coding	chrX	107774899	107795829	NCBP2L	ENSG00000170935	protein_coding	Single-copy	NA	NA	NA	NA	NA	NA	NA
NDP	ENSG00000124479	protein_coding	chrX	43948776	43973395	NDP	ENSG00000124479	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
NDUFA1	ENSG00000125356	protein_coding	chrX	119871832	119876662	NDUFA1	ENSG00000125356	protein_coding	Single-copy	S	0	NA	NA	NA	NA	0
NDUFB11	ENSG00000147123	protein_coding	chrX	47142216	47145038	NDUFB11	ENSG00000147123	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
NEXMIF	ENSG00000050030	protein_coding	chrX	74732856	74925472	KIAA2022	ENSG00000050030	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
NHS	ENSG00000188158	protein_coding	chrX	17375200	17735994	NHS	ENSG00000188158	protein_coding	Single-copy	Mostly VE	0.22	NA	NA	NA	NA	0.22
NHSL2	ENSG00000204131	protein_coding	chrX	71910818	72161750	NHSL2	ENSG00000204131	protein_coding	Single-copy	Discordant	0.16	NA	NA	NA	NA	0.16
NKAP	ENSG00000101882	protein_coding	chrX	119920672	119943751	NKAP	ENSG00000101882	protein_coding	Single-copy	Mostly S	0.01	NA	NA	NA	0	0.005
NKRF	ENSG00000186416	protein_coding	chrX	119588337	119606443	NKRF	ENSG00000186416	protein_coding	Single-copy	S	0.02	NA	NA	NA	0.038661159	0.0293305795
NLGN3	ENSG00000196338	protein_coding	chrX	71144831	71171201	NLGN3	ENSG00000196338	protein_coding	Single-copy	S	0.03	NA	NA	NA	NA	0.03
NLGN4X	ENSG00000146938	protein_coding	chrX	5840637	6228867	NLGN4X	ENSG00000146938	protein_coding	Single-copy	Mostly E	0.27	NA	NA	NA	NA	0.27
NLRP2B	ENSG00000215174	protein_coding	chrX	57677067	57680260	NLRP2P	ENSG00000215174	protein_coding	Single-copy	NA	NA	NA	NA	NA	NA	NA
NONO	ENSG00000147140	protein_coding	chrX	71254814	71301522	NONO	ENSG00000147140	protein_coding	Single-copy	Mostly S	NA	0	NA	NA	0.007883878	0.003941939
NOX1	ENSG00000007952	protein_coding	chrX	100843324	100874359	NOX1	ENSG00000007952	protein_coding	Single-copy	No call	NA	NA	NA	NA	NA	NA
NR0B1	ENSG00000169297	protein_coding	chrX	30304206	30309390	NR0B1	ENSG00000169297	protein_coding	Single-copy	S	NA	NA	NA	NA	NA	NA
NRK	ENSG00000123572	protein_coding	chrX	105822539	105958610	NRK	ENSG00000123572	protein_coding	Single-copy	S	0.04	NA	NA	NA	NA	0.04
NSDHL	ENSG00000147383	protein_coding	chrX	152830967	152869729	NSDHL	ENSG00000147383	protein_coding	Single-copy	S	0.01	0	NA	NA	0.016312127	0.008770709
NUDT10	ENSG00000122824	protein_coding	chrX	51332231	51337525	NUDT10	ENSG00000122824	protein_coding	Multicopy	S	0.06	NA	NA	NA	NA	0.06
NUDT11	ENSG00000196368	protein_coding	chrX	51490011	51496592	NUDT11	ENSG00000196368	protein_coding	Multicopy	S	NA	NA	NA	NA	NA	NA
NUP62CL	ENSG00000198088	protein_coding	chrX	107123427	107206433	NUP62CL	ENSG00000198088	protein_coding	Single-copy	Mostly S	0.13	0	NA	NA	NA	0.065
NXF2	ENSG00000269405	protein_coding	chrX	102247167	102326722	NXF2	ENSG00000269405	protein_coding	Ampliconic	No call	NA	NA	NA	NA	NA	NA
